order_id,date,store_id,product_id,quantity,price
1,2024-03-01,1,101,3,10.0
2,2024-03-01,2,102,2,15.0
3,2024-03-02,1,103,1,20.0
4,2024-03-02,3,101,4,10.0
5,2024-03-03,2,104,2,25.0
6,2024-03-03,1,102,5,
7,2024-03-04,3,105,1,30.0
8,2024-03-04,1,101,2,10.0
9,2024-03-05,2,103,3,20.0
10,2024-03-05,3,104,2,25.0
11,2024-03-06,1,105,4,30.0
12,2024-03-06,2,101,1,10.0
13,2024-03-07,3,102,3,15.0
14,2024-03-07,1,103,2,20.0
15,2024-03-08,2,104,1,
16,2024-03-08,3,105,2,30.0
17,2024-03-09,1,101,3,10.0
18,2024-03-09,2,102,2,15.0
19,2024-03-10,3,103,1,20.0
20,2024-03-10,1,104,4,25.0
21,2024-03-11,2,105,2,30.0
22,2024-03-11,3,101,1,10.0
23,2024-03-12,1,102,5,15.0
24,2024-03-12,2,103,3,20.0
25,2024-03-13,3,104,2,25.0
26,2024-03-13,1,105,4,30.0
27,2024-03-14,2,101,1,10.0
28,2024-03-14,3,102,3,15.0
29,2024-03-15,1,103,2,
30,2024-03-15,2,104,1,25.0
31,2024-03-16,3,105,2,30.0
32,2024-03-16,1,101,3,10.0
33,2024-03-17,2,102,2,15.0
34,2024-03-17,3,103,1,20.0
35,2024-03-18,1,104,4,25.0
36,2024-03-18,2,105,2,
37,2024-03-19,3,101,1,10.0
38,2024-03-19,1,102,5,15.0
39,2024-03-20,2,103,3,20.0
40,2024-03-20,3,104,2,25.0
41,2024-03-21,1,105,4,30.0
42,2024-03-21,2,101,1,10.0
43,2024-03-22,3,102,3,
44,2024-03-22,1,103,2,20.0
45,2024-03-23,2,104,1,25.0
46,2024-03-23,3,105,2,30.0
47,2024-03-24,1,101,3,10.0
48,2024-03-24,2,102,2,15.0
49,2024-03-25,3,103,1,20.0
50,2024-03-25,1,104,4,25.0
